1,窮,生活に困キュウする,
2,券,食ケンを買う,
3,凍,寒さにコゴえる,
4,勝,試合にカつ,
5,複,フク数の選択肢,
6,禅,座ゼンを組む,
7,博,ハク物館に行く,
8,専,セン門分野,
9,疑,罪をウタガう,
10,浪,時間をロウ費する,
11,冥,メイ土の土産,
12,戚,親セキ一同が集う,
13,威,親の権イ,
14,炊,ご飯をタく,
15,控,甘いものをヒカえる,
16,喫,漫画キッ茶,
17,湧,ワき水を飲む,
18,痩,3キロヤせた,
19,璧,完ペキ主義を貫く,
20,婿,ムコ養子をとる,
21,凄,スゴい人,
22,伺,機嫌をウカガう,
23,募,新入部員をボ集する,
24,歳,今年で30サイになる,
25,塗,壁をペンキでヌる,
26,督,野球の監トク,
27,鬱,憂ウツな気分になる,
28,餅,モチを食べる,
29,弊,無理なダイエットのヘイ害,
30,幣,紙ヘイを印刷する,
31,騰,沸トウしたら火を止める,〇
32,蹴,ボールをケる,〇
33,薄,髪がウスくなる,〇
34,藤,フジの花が咲く,
35,覇,ハ権を握る,
36,懸,一生ケン命な人,
37,刹,セツ那の快楽,
38,襲,ゾンビにオソわれる,
39,旺,好奇心オウ盛,〇
40,雌,犬のメス,
41,譲,席をユズる,
42,籍,入セキを報告する,〇
43,癒,疲れをイヤす,
44,微,ビ妙な味,
45,徴,特チョウのない人,
46,拘,コダワりが強い,
47,祉,福シ課で働く,
48,淑,紳士シュク女の皆さん,
49,擬,模ギ裁判,
50,俺,オレの好きな曲,
51,耗,インクの消モウ,
52,愉,ユ快な雑談,
53,繊,セン維工場,
54,織,組シキに所属する,
55,宵,今ヨイは宴だ,
56,縛,束バクの強い恋人,
57,縫,裁ホウ道具を買う,
58,阻,侵入をソ止する,
59,薦,推セン入試を受ける,
60,潤,肌のウルオい,
